# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
11             	1.3721337e+00	6.9782466e-01	6.7430908e-01	-2.3515577e+00	-1.1727404e+00	-1.1788173e+00	3.0384201e-03	1.1757788e-02	6.8606687e-03	5.0770614e-20	6.8606687e-03	-6.8606687e-03
12             	7.6600839e+00	3.8954322e+00	3.7646517e+00	-1.3078053e+01	-6.4485508e+00	-6.6295025e+00	9.0475846e-02	6.5390267e-02	3.8300419e-02	-1.1431882e-19	3.8300419e-02	-3.8300419e-02
13             	1.0077363e+01	5.1246325e+00	4.9527308e+00	-1.7190174e+01	-8.5474164e+00	-8.6427578e+00	4.7670685e-02	8.5950871e-02	5.0386816e-02	-7.1651976e-21	5.0386816e-02	-5.0386816e-02
14             	9.0652507e+00	4.6098603e+00	4.4553905e+00	-1.5446982e+01	-7.8150616e+00	-7.6319206e+00	-9.1570535e-02	7.7234911e-02	4.5326254e-02	2.6578587e-19	4.5326254e-02	-4.5326254e-02
15             	5.9624564e+00	3.0319398e+00	2.9305166e+00	-1.0142325e+01	-5.3426724e+00	-4.7996527e+00	-2.7150985e-01	5.0711626e-02	2.9812282e-02	-2.1501163e-20	2.9812282e-02	-2.9812282e-02
16             	2.2797456e+00	1.1591240e+00	1.1206215e+00	-3.8502510e+00	-2.3488462e+00	-1.5014048e+00	-4.2372068e-01	1.9251255e-02	1.1398728e-02	3.8600367e-20	1.1398728e-02	-1.1398728e-02
17             	-7.8078645e-01	-3.9725504e-01	-3.8353141e-01	1.3723637e+00	1.6786090e-01	1.2045028e+00	-5.1832093e-01	-6.8618184e-03	-3.9039322e-03	2.6867436e-21	-3.9039322e-03	3.9039322e-03
18             	-2.5943959e+00	-1.3195204e+00	-1.2748755e+00	4.4644869e+00	1.6973537e+00	2.7671331e+00	-5.3488971e-01	-2.2322434e-02	-1.2971980e-02	7.6249694e-20	-1.2971980e-02	1.2971980e-02
19             	-2.9326680e+00	-1.4915098e+00	-1.4411582e+00	5.0351523e+00	2.0357008e+00	2.9994515e+00	-4.8187531e-01	-2.5175761e-02	-1.4663340e-02	8.6062619e-20	-1.4663340e-02	1.4663340e-02
20             	-2.1389085e+00	-1.0878163e+00	-1.0510922e+00	3.6724111e+00	1.4476151e+00	2.2247960e+00	-3.8859044e-01	-1.8362056e-02	-1.0694543e-02	1.8681770e-19	-1.0694543e-02	1.0694543e-02
21             	-7.8024956e-01	-3.9685540e-01	-3.8339416e-01	1.3461234e+00	3.8048522e-01	9.6563822e-01	-2.9257650e-01	-6.7306172e-03	-3.9012478e-03	1.9729251e-19	-3.9012478e-03	3.9012478e-03
22             	5.9775542e-01	3.0392139e-01	2.9383403e-01	-1.0087357e+00	-7.2542939e-01	-2.8330627e-01	-2.2106156e-01	5.0436783e-03	2.9887771e-03	1.3172831e-19	2.9887771e-03	-2.9887771e-03
23             	1.6179402e+00	8.2271212e-01	7.9522813e-01	-2.7483985e+00	-1.5650525e+00	-1.1833460e+00	-1.9085324e-01	1.3741992e-02	8.0897012e-03	1.2712275e-19	8.0897012e-03	-8.0897012e-03
24             	2.0866910e+00	1.0610617e+00	1.0256293e+00	-3.5432345e+00	-1.9694876e+00	-1.5737469e+00	-1.9787031e-01	1.7716173e-02	1.0433455e-02	7.5316040e-20	1.0433455e-02	-1.0433455e-02
