# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
214            	1.3819186e+00	7.0346744e-01	6.7845112e-01	-2.5016318e+00	-1.4100724e+00	-1.0915594e+00	-1.5925650e-01	1.2508159e-02	6.9095928e-03	3.4007745e-19	6.9095928e-03	-6.9095928e-03
215            	1.3830687e+00	7.0404285e-01	6.7902584e-01	-2.5017016e+00	-1.4032844e+00	-1.0984171e+00	-1.5243366e-01	1.2508508e-02	6.9153434e-03	3.1324577e-19	6.9153434e-03	-6.9153434e-03
216            	1.3837872e+00	7.0439833e-01	6.7938888e-01	-2.5009449e+00	-1.3961039e+00	-1.1048410e+00	-1.4563148e-01	1.2504725e-02	6.9189361e-03	4.0723880e-19	6.9189361e-03	-6.9189361e-03
217            	1.3840279e+00	7.0451020e-01	6.7951768e-01	-2.4992520e+00	-1.3884337e+00	-1.1108183e+00	-1.3880767e-01	1.2496260e-02	6.9201394e-03	4.1191104e-19	6.9201394e-03	-6.9201394e-03
218            	1.3838702e+00	7.0441892e-01	6.7945132e-01	-2.4967608e+00	-1.3803229e+00	-1.1164379e+00	-1.3194247e-01	1.2483804e-02	6.9193512e-03	4.2149774e-19	6.9193512e-03	-6.9193512e-03
219            	1.3832846e+00	7.0410919e-01	6.7917544e-01	-2.4933750e+00	-1.3717337e+00	-1.1216413e+00	-1.2504620e-01	1.2466875e-02	6.9164231e-03	4.4192012e-19	6.9164231e-03	-6.9164231e-03
220            	1.3823949e+00	7.0364401e-01	6.7875089e-01	-2.4893120e+00	-1.3628254e+00	-1.1264866e+00	-1.1816937e-01	1.2446560e-02	6.9119745e-03	4.8782020e-19	6.9119745e-03	-6.9119745e-03
221            	1.3811160e+00	7.0298023e-01	6.7813575e-01	-2.4844483e+00	-1.3535213e+00	-1.1309269e+00	-1.1129720e-01	1.2422241e-02	6.9055799e-03	5.1140247e-19	6.9055799e-03	-6.9055799e-03
222            	1.3794299e+00	7.0210868e-01	6.7732117e-01	-2.4787513e+00	-1.3438544e+00	-1.1348970e+00	-1.0447869e-01	1.2393757e-02	6.8971493e-03	5.2282811e-19	6.8971493e-03	-6.8971493e-03
223            	1.3773131e+00	7.0101756e-01	6.7629551e-01	-2.4722051e+00	-1.3338262e+00	-1.1383789e+00	-9.7723659e-02	1.2361026e-02	6.8865654e-03	5.5286363e-19	6.8865654e-03	-6.8865654e-03
