# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
101            	8.4269308e-01	4.2894825e-01	4.1374483e-01	-1.5203420e+00	-1.1091841e+00	-4.1115788e-01	-3.4901311e-01	7.6017099e-03	4.2134654e-03	-1.0599788e-18	4.2134654e-03	-4.2134654e-03
102            	8.4535313e-01	4.3031198e-01	4.1504115e-01	-1.5270832e+00	-1.1126166e+00	-4.1446666e-01	-3.4907495e-01	7.6354161e-03	4.2267656e-03	-1.0623635e-18	4.2267656e-03	-4.2267656e-03
103            	8.4797556e-01	4.3165656e-01	4.1631901e-01	-1.5337550e+00	-1.1160160e+00	-4.1773897e-01	-3.4913851e-01	7.6687748e-03	4.2398778e-03	-1.0660927e-18	4.2398778e-03	-4.2398778e-03
104            	8.5052593e-01	4.3296443e-01	4.1756151e-01	-1.5402922e+00	-1.1193624e+00	-4.2092974e-01	-3.4921635e-01	7.7014609e-03	4.2526297e-03	-1.0723049e-18	4.2526297e-03	-4.2526297e-03
105            	8.5306351e-01	4.3426546e-01	4.1879805e-01	-1.5467417e+00	-1.1226967e+00	-4.2404497e-01	-3.4932589e-01	7.7337085e-03	4.2653175e-03	-1.0754263e-18	4.2653175e-03	-4.2653175e-03
106            	8.5548803e-01	4.3550889e-01	4.1997914e-01	-1.5529752e+00	-1.1260365e+00	-4.2693870e-01	-3.4954891e-01	7.7648761e-03	4.2774401e-03	-1.0840525e-18	4.2774401e-03	-4.2774401e-03
107            	8.5786964e-01	4.3673012e-01	4.2113952e-01	-1.5590606e+00	-1.1294096e+00	-4.2965098e-01	-3.4987931e-01	7.7953030e-03	4.2893482e-03	-1.0926846e-18	4.2893482e-03	-4.2893482e-03
108            	8.6016778e-01	4.3790860e-01	4.2225918e-01	-1.5649423e+00	-1.1327951e+00	-4.3214716e-01	-3.5032399e-01	7.8247115e-03	4.3008389e-03	-1.1000879e-18	4.3008389e-03	-4.3008389e-03
109            	8.6233160e-01	4.3901858e-01	4.2331303e-01	-1.5705549e+00	-1.1361841e+00	-4.3437076e-01	-3.5090668e-01	7.8527745e-03	4.3116580e-03	-1.1139523e-18	4.3116580e-03	-4.3116580e-03
110            	8.6437348e-01	4.4006645e-01	4.2430703e-01	-1.5759421e+00	-1.1395558e+00	-4.3638631e-01	-3.5158472e-01	7.8797104e-03	4.3218674e-03	-1.1150677e-18	4.3218674e-03	-4.3218674e-03
111            	8.6624942e-01	4.4102983e-01	4.2521959e-01	-1.5810247e+00	-1.1428641e+00	-4.3816064e-01	-3.5235171e-01	7.9051235e-03	4.3312471e-03	-1.1171639e-18	4.3312471e-03	-4.3312471e-03
112            	8.6796397e-01	4.4191123e-01	4.2605274e-01	-1.5858496e+00	-1.1460759e+00	-4.3977372e-01	-3.5315107e-01	7.9292479e-03	4.3398199e-03	-1.1319715e-18	4.3398199e-03	-4.3398199e-03
113            	8.6944570e-01	4.4267446e-01	4.2677124e-01	-1.5903216e+00	-1.1491800e+00	-4.4114155e-01	-3.5401925e-01	7.9516080e-03	4.3472285e-03	-1.1344441e-18	4.3472285e-03	-4.3472285e-03
114            	8.7068121e-01	4.4331290e-01	4.2736831e-01	-1.5944595e+00	-1.1522069e+00	-4.4225263e-01	-3.5497711e-01	7.9722975e-03	4.3534060e-03	-1.1484261e-18	4.3534060e-03	-4.3534060e-03
115            	8.7177383e-01	4.4387904e-01	4.2789480e-01	-1.5984240e+00	-1.1551605e+00	-4.4326343e-01	-3.5594856e-01	7.9921199e-03	4.3588692e-03	-1.1546270e-18	4.3588692e-03	-4.3588692e-03
116            	8.7287485e-01	4.4444963e-01	4.2842523e-01	-1.6024405e+00	-1.1581246e+00	-4.4431589e-01	-3.5690435e-01	8.0122024e-03	4.3643743e-03	-1.1667854e-18	4.3643743e-03	-4.3643743e-03
117            	8.7396898e-01	4.4501696e-01	4.2895202e-01	-1.6064945e+00	-1.1610610e+00	-4.4543354e-01	-3.5781372e-01	8.0324726e-03	4.3698449e-03	-1.1748334e-18	4.3698449e-03	-4.3698449e-03
118            	8.7521894e-01	4.4566381e-01	4.2955513e-01	-1.6108675e+00	-1.1640154e+00	-4.4685216e-01	-3.5858161e-01	8.0543377e-03	4.3760947e-03	-1.1795242e-18	4.3760947e-03	-4.3760947e-03
119            	8.7658005e-01	4.4636731e-01	4.3021275e-01	-1.6154562e+00	-1.1669705e+00	-4.4848568e-01	-3.5924241e-01	8.0772809e-03	4.3829003e-03	-1.1847692e-18	4.3829003e-03	-4.3829003e-03
120            	8.7810990e-01	4.4715659e-01	4.3095331e-01	-1.6203282e+00	-1.1699895e+00	-4.5033874e-01	-3.5982536e-01	8.1016410e-03	4.3905495e-03	-1.1888303e-18	4.3905495e-03	-4.3905495e-03
121            	8.7980184e-01	4.4802804e-01	4.3177379e-01	-1.6254253e+00	-1.1730261e+00	-4.5239921e-01	-3.6031346e-01	8.1271267e-03	4.3990092e-03	-1.1896643e-18	4.3990092e-03	-4.3990092e-03
122            	8.8177485e-01	4.4904226e-01	4.3273259e-01	-1.6309667e+00	-1.1761766e+00	-4.5479013e-01	-3.6069322e-01	8.1548335e-03	4.4088742e-03	-1.1889045e-18	4.4088742e-03	-4.4088742e-03
123            	8.8396573e-01	4.5016692e-01	4.3379881e-01	-1.6368111e+00	-1.1794036e+00	-4.5740749e-01	-3.6099805e-01	8.1840553e-03	4.4198286e-03	-1.1849520e-18	4.4198286e-03	-4.4198286e-03
124            	8.8623001e-01	4.5132853e-01	4.3490149e-01	-1.6427036e+00	-1.1826449e+00	-4.6005866e-01	-3.6129312e-01	8.2135178e-03	4.4311501e-03	-1.1946247e-18	4.4311501e-03	-4.4311501e-03
125            	8.8863751e-01	4.5256268e-01	4.3607484e-01	-1.6487838e+00	-1.1859306e+00	-4.6285318e-01	-3.6153873e-01	8.2439191e-03	4.4431876e-03	-1.1987596e-18	4.4431876e-03	-4.4431876e-03
126            	8.9118120e-01	4.5386591e-01	4.3731529e-01	-1.6550625e+00	-1.1892427e+00	-4.6581978e-01	-3.6171145e-01	8.2753123e-03	4.4559060e-03	-1.1927105e-18	4.4559060e-03	-4.4559060e-03
127            	8.9378681e-01	4.5520047e-01	4.3858634e-01	-1.6614131e+00	-1.1925394e+00	-4.6887369e-01	-3.6183284e-01	8.3070653e-03	4.4689340e-03	-1.1998841e-18	4.4689340e-03	-4.4689340e-03
128            	8.9634525e-01	4.5651092e-01	4.3983434e-01	-1.6676585e+00	-1.1958001e+00	-4.7185834e-01	-3.6197089e-01	8.3382923e-03	4.4817263e-03	-1.2105514e-18	4.4817263e-03	-4.4817263e-03
129            	8.9881608e-01	4.5777673e-01	4.4103936e-01	-1.6737373e+00	-1.1990301e+00	-4.7470718e-01	-3.6216147e-01	8.3686865e-03	4.4940804e-03	-1.2155713e-18	4.4940804e-03	-4.4940804e-03
130            	9.0121807e-01	4.5900745e-01	4.4221062e-01	-1.6796825e+00	-1.2022584e+00	-4.7742408e-01	-3.6241715e-01	8.3984123e-03	4.5060903e-03	-1.2237104e-18	4.5060903e-03	-4.5060903e-03
131            	9.0358082e-01	4.6021812e-01	4.4336270e-01	-1.6855422e+00	-1.2054958e+00	-4.8004638e-01	-3.6272470e-01	8.4277108e-03	4.5179041e-03	-1.2290413e-18	4.5179041e-03	-4.5179041e-03
132            	9.0584673e-01	4.6137963e-01	4.4446710e-01	-1.6912525e+00	-1.2087345e+00	-4.8251804e-01	-3.6310821e-01	8.4562624e-03	4.5292337e-03	-1.2305760e-18	4.5292337e-03	-4.5292337e-03
133            	9.0801560e-01	4.6249188e-01	4.4552372e-01	-1.6968163e+00	-1.2119723e+00	-4.8484402e-01	-3.6356415e-01	8.4840817e-03	4.5400780e-03	-1.2258159e-18	4.5400780e-03	-4.5400780e-03
134            	9.1006905e-01	4.6354567e-01	4.4652338e-01	-1.7022291e+00	-1.2151766e+00	-4.8705256e-01	-3.6406200e-01	8.5111456e-03	4.5503453e-03	-1.2307955e-18	4.5503453e-03	-4.5503453e-03
135            	9.1204707e-01	4.6456136e-01	4.4748571e-01	-1.7075655e+00	-1.2183700e+00	-4.8919549e-01	-3.6458728e-01	8.5378276e-03	4.5602354e-03	-1.2415872e-18	4.5602354e-03	-4.5602354e-03
136            	9.1398541e-01	4.6555708e-01	4.4842833e-01	-1.7128743e+00	-1.2215598e+00	-4.9131450e-01	-3.6512266e-01	8.5643716e-03	4.5699271e-03	-1.2509248e-18	4.5699271e-03	-4.5699271e-03
137            	9.1590984e-01	4.6654577e-01	4.4936408e-01	-1.7181687e+00	-1.2247441e+00	-4.9342454e-01	-3.6565980e-01	8.5908435e-03	4.5795492e-03	-1.2590975e-18	4.5795492e-03	-4.5795492e-03
138            	9.1790299e-01	4.6756927e-01	4.5033372e-01	-1.7235544e+00	-1.2279534e+00	-4.9560100e-01	-3.6617617e-01	8.6177718e-03	4.5895149e-03	-1.2617318e-18	4.5895149e-03	-4.5895149e-03
139            	9.1995458e-01	4.6862239e-01	4.5133219e-01	-1.7290198e+00	-1.2311661e+00	-4.9785371e-01	-3.6665621e-01	8.6450992e-03	4.5997729e-03	-1.2697364e-18	4.5997729e-03	-4.5997729e-03
140            	9.2200901e-01	4.6967679e-01	4.5233222e-01	-1.7344574e+00	-1.2343474e+00	-5.0011002e-01	-3.6711868e-01	8.6722870e-03	4.6100451e-03	-1.2851595e-18	4.6100451e-03	-4.6100451e-03
141            	9.2390824e-01	4.7065220e-01	4.5325605e-01	-1.7396152e+00	-1.2374505e+00	-5.0216468e-01	-3.6764292e-01	8.6980761e-03	4.6195412e-03	-1.2986879e-18	4.6195412e-03	-4.6195412e-03
142            	9.2567799e-01	4.7156159e-01	4.5411639e-01	-1.7445199e+00	-1.2404920e+00	-5.0402784e-01	-3.6823210e-01	8.7225994e-03	4.6283899e-03	-1.3009937e-18	4.6283899e-03	-4.6283899e-03
